person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
Robert B. Laughlin,https://vi.wikipedia.org/wiki/Robert_B._Laughlin,Viện Công nghệ Massachusetts,Học viện Công nghệ Massachusetts; Đại học California tại Berkeley,Giải Nobel Vật lý (1998); Huy chương Franklin (1998),,,California; Hoa Kỳ; Visalia,,,,,,,,,Vật lý lý thuyết,Robert Laughlin; Stanford University.jpg,,180px,Hiệu ứng Hall lượng tử,Robert Betts Laughlin,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Stanford
Robert Benton,https://vi.wikipedia.org/wiki/Robert_Benton,Đại học Columbia,,,,,,,,,,,,,,,,,,,Robert Benton,,nhà biên kịch; nhà sản xuất; đạo diễn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Burns Woodward,https://vi.wikipedia.org/wiki/Robert_Burns_Woodward,Viện Công nghệ Massachusetts,Viện Công nghệ Massachusetts,,10 tháng 4 năm 1917,,Boston; Massachusetts; Mỹ,,,,Cambrigde; Massachusetts; Mỹ,,* Christopher Foote; * Harry Wasserman; * Ken Houk; * Ronald Breslow; * Stuart Schreiber; * William R. Roush,,Hóa học hữu cơ,,Robert Burns Woodward portrait.jpg,220px,,,Robert Burns Woodward,,,,,,,,,,,,* Giải Nobel Hóa học năm 196525px<ref> </ref>; * Giải Willard Gibbs năm 1967; * Huy chương Copley năm 1978; * Huân chương Khoa học Quốc gia năm 1964,,,,,,,,,,,,,,,,,,Đại học Havard,
Robert C. Merton,https://vi.wikipedia.org/wiki/Robert_C._Merton,Viện Công nghệ Massachusetts; Đại học Columbia,Viện Công nghệ California; Viện Công nghệ Massachusetts; Đại học Columbia,,,Robert C. Merton,Hoa Kỳ; New York; New York City,,,,,Paul Samuelson,,,Finance; Kinh tế học,,Robert C. Merton.jpg,180px,,ICAPM; Mô hình Black–Scholes; Mô hình Jarrow-Turnbull; Mô hình Merton; Quản lý vốn dài hạn; Vấn đề danh mục đầu tư của Merton,,Hoa Kỳ,,,,,,,,,,,Giải Nodel Kinh tế (1997),,,,,,,,,,,,,,,,,,,Viện Công nghệ Massachusetts; Đại học Harvard
Robert F. Furchgott,https://vi.wikipedia.org/wiki/Robert_F._Furchgott,Đại học Northwestern,Đại học Bắc Carolina tại Chapel Hill; Đại học Tây Bắc,,ngày 4 tháng 6 năm 1916,Robert Francis Furchgott,Charleston; Nam Carolina,,,,Seattle; Washington,,,,Hóa sinh học,,Drfurchgott.jpg,220px,,,Robert F. Furchgott,Mỹ,,,,,,,,,,,Giải Nobel Sinh lý học; Y khoa năm 1998,Do Thái giáo,,Robert F. Furchgott.jpg,(3 con); (chết 2006); Lenore Mandelbaum (1941-1983) (chết 1983); Margaret Gallagher Roth (?-2006),,,,,,,,,,,,,,Trung tâm Y học Downstate của Đại học bang New York 1956-2009; Đại học Washington tại St. Louis 1949-1956,
Robert Fogel,https://vi.wikipedia.org/wiki/Robert_Fogel,Đại học Columbia; Đại học Johns Hopkins,Trường trung học Stuyvesant; Đại học Columbia; Đại học Cornell; Đại học Johns Hopkins,,,,Hoa Kỳ; New York; New York City,<!-- Information -->,,,Hoa Kỳ; Illinois; Oak Lawn,,,,Cliometrics; Lịch sử kinh tế,,Robert William Fogel.jpg,,,,Robert Fogel,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Frost,https://vi.wikipedia.org/wiki/Robert_Frost,Đại học Harvard,,,26 tháng 3 năm 1874,,California Hoa Kỳ; San Francisco,Robert Frost (1941),,29 tháng 1 năm 1963,Boston; Massachusetts Hoa Kỳ,,,,,,Robert Frost NYWTS.jpg,,,,Robert Frost,,Nhà thơ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Gates,https://vi.wikipedia.org/wiki/Robert_Gates,Đại học Georgetown,,,,,Hoa Kỳ; Kansas; Wichita,,,,,,,,,,2006.jpg; Robert Gates; official DoD photo portrait,,,,Robert Michael Gates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Gould Shaw,https://vi.wikipedia.org/wiki/Robert_Gould_Shaw,Đại học Harvard,,,,,,Robert Gould Shaw,,,,,,,,,Robert Gould Shaw.jpg,,,,Robert Gould Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert J. Lang,https://vi.wikipedia.org/wiki/Robert_J._Lang,Đại học Stanford,Học viện kỹ thuật California,,,,Dayton; Ohio,Robert Lang năm 2012,,,,,,,Quang điện tử; toán học; vật lý,,Robert J. Lang at PIMS 2 cropped.jpg,200px,,Toán học origami,Robert J. Lang,Hợp chủng quốc Hoa Kỳ,,,,,,,,,,,,Đạo Cơ Đốc,Alamo; California,,,,,,,,,,,,,,,NASA,,
Robert J. Shiller,https://vi.wikipedia.org/wiki/Robert_J._Shiller,Viện Công nghệ Massachusetts; Đại học Michigan,Đại học Yale,,,,Hoa Kỳ,,,,,,,,Kinh tế học,,Robert Shiller - World Economic Forum Annual Meeting 2012 (cropped).jpg,180px,,,Robert J. Shiller,Hoa Kỳ,,,,,,,,,,,Giải thưởng Nobel về Khoa học kinh tế (2013),,,,,,,,,,,,,,,,,,,
Robert K. Merton,https://vi.wikipedia.org/wiki/Robert_K._Merton,Đại học Harvard,* Harvard University (MA) (PhD); * Temple University (BA); {{plainlist|; }},* John Desmond Bernal Prize <small>(1982)</small>; * National Medal of Science <small>(1994)</small>; {{plainlist|; }},,Meyer Robert Schkolnick,Hoa Kỳ; Pennsylvania; Philadelphia,,* Robert C. Merton; * Stephanie Merton Tombrello; * Vanessa Merton; {{plainlist|; }},,Hoa Kỳ; New York; New York City,Pitirim Sorokin,* Alvin Gouldner; * Barney Glaser; * Lewis Coser; * Peter Blau; {{plainlist|; }},,,Xã hội học,Robert_K_Merton.jpg,,,* Hình mẫu; * Lời tiên tri tự hoàn thành; * Matthew effect; * Merton thesis; * Merton's strain theory of deviance; * Mertonian norms; * Reference group; * Self-defeating prophecy; {{plainlist|; }},Robert K. Merton,,,,,,,,,,,,,,,,* Harriet Zuckerman; * Suzanne Carhart; {{plainlist|; }},,,,,,,,,,,,,,,
Robert Langlands,https://vi.wikipedia.org/wiki/Robert_Langlands,Đại học Yale,Đại học British Columbia; Đại học Yale,Giải Abel; Giải Toán học của Viện hàn lâm Khoa học quốc gia Hoa Kỳ; Giải thưởng Jeffery–Williams; Giải thưởng Shaw; Giải thưởng Steele; Giải thưởng Toán học Nemmers; Giải thưởng Wolf; Huy chương lớn của Viện hàn lâm Khoa học Pháp,,,British Columbia; Canada; New Westminster,,,,,Cassius Ionescu-Tulcea,James Greig Arthur; Thomas Callister Hales,,,,Langlands2.jpg,,,,Robert Phelan Langlands,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,Viện Nghiên cứu Cao cấp Princeton; Đại học Princeton; Đại học Yale
Robert Lefkowitz,https://vi.wikipedia.org/wiki/Robert_Lefkowitz,Đại học Columbia,Đại học Columbia; Đại học Harvard (residency),,,,Hoa Kỳ; Thành phố New York,Robert J. Lefkowitz,,,,,Brian Kobilka,,Hóa sinh; Sinh học thụ thể,,lefkowitz3.jpg,180px,,beta-arrestins; thụ thể bắt cặp với protein G,Robert Lefkowitz,United States,,,,,,,,,,,'''Giải Nobel Hóa học''' (2012); Huân chương Khoa học Quốc gia (2007),,,,,,,,,,,,,,,,,,,Viện Y khoa Howard Hughes; Đại học Duke
Robert Lustig,https://vi.wikipedia.org/wiki/Robert_Lustig,Viện Công nghệ Massachusetts,,,,,,,,,,,,,Nội tiết thần kinh học; nội tiết học nhi khoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bệnh viện Nhi Benioff UCSF; San Francisco; Đại học California,
Robert MacPherson,https://vi.wikipedia.org/wiki/Robert_MacPherson,Đại học Harvard,Đại học Harvard,,,,Lakewood; Ohio,2008; Robert MacPherson,,,,Raoul Bott,Eric Babson; Julianna Tymoczko; Kari Vilonen; Mark Goresky,,,Toán học,Macpherson.jpeg,200px,,,Robert MacPherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Học viện Công nghệ Massachusetts; Đại học Brown; Đại học Princeton
Robert Metcalfe,https://vi.wikipedia.org/wiki/Robert_Metcalfe,Đại học Harvard,*Học viện Công nghệ Massachusetts (hai bằng cử nhân khoa học); *Đại học Harvard (thạc sĩ; tiến sĩ); {{ indented plainlist |; }},"*Computer History Museum Fellow Awards (2008)<ref name=""computerhistory.org"">{{chú thích web; *Giải ACM Grace Murray Hopper; *Giải Marconi (2003); *Giải Turing (2022); *Huy chương Công nghệ quốc gia; *Huy chương IEEE Alexander Graham Bell (1988); *Huy chương danh dự IEEE; *Sảnh danh vọng Internet; 2008|archive-url=https://web.archive.org/web/20081003021101/http://www.computerhistory.org/fellowawards/2008_fellow_awards.html}}</ref>; {{ indented plainlist |; | url = http://www.computerhistory.org/fellowawards/2008_fellow_awards.html | title = Computer History Museum 2008 Fellow Awards|access-date = 2008-10-21|archive-date=October 3; }}",,Robert Melancton Metcalfe,New York City; U.S,Metcalfe năm 2004,,,,Jeffrey P. Buzen,,,,*Khoa học máy tính; *Mạng máy tính; {{ indented plainlist |; }},With Bob Metcalfe (cropped).jpg,,,,Robert Metcalfe,,,,,,,,,,,,,,,,Robyn,,,,,,,,,,,,,,,*3Com; *Học viện Công nghệ Massachusetts; *IDG/InfoWord; *Polaris Venture Partners; *Xerox PARC; *Đại học Texas tại Austin; {{ indented plainlist |; }}
Robert Millikan,https://vi.wikipedia.org/wiki/Robert_Millikan,Đại học Columbia,Đại học Columbia; Đại học Oberlin,,22 tháng 3 năm 1868,,Hoa Kỳ; Illinois; Morrison,Professor Robert Andrews Millikan,,,California; Hoa Kỳ; San Marino,Albert Michelson 20px; Michael Pupin,William Pickering,,Vật lý,,Robert-millikan2.jpg,,,Charge on the electron & advanced work on cosmic ray physics,Robert A. Millikan,20px Mỹ,,,,,,,,,,,20px Giải Nobel Vật lý (1923); Giải Vật lý Comstock (1913); Huy chương Matteucci (1925); Huy chương Oersted (1940),"1928-1929; 2007</ref>; Congregationalist <ref>[""Millikan; Retrieved on June 13; Robert Andrew""]; Who's Who in America v.15; p. 1486",20px Hoa Kỳ,,,,,,,,,,,,,,,Viện kỹ thuật California; Đại học Chicago,,
Robert Mundell,https://vi.wikipedia.org/wiki/Robert_Mundell,Viện Công nghệ Massachusetts,Trường Kinh tế London; Trường kinh tế UBC Vancouver; Viện công nghệ Massachusetts; Đại học Washington,Giải Nobel Kinh tế (1999); Giải thưởng Kinh tế học Toàn cầu của Viện Kinh tế Thế giới (tại Kiel; Huân chương Canada của Chính phủ Canada (2002); Đức) (2005),,,Canada; Kingston; Ontario,,,2021 (88 tuổi); 4 tháng 4,Siena,,,,Kinh tế học tiền tệ,,Rmundell.jpg,180px,,,Robert Mundell,Canada,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Robert R. Redfield,https://vi.wikipedia.org/wiki/Robert_R._Redfield,Đại học Georgetown,,,,Robert Ray Redfield Jr,,,,,,,,MD); Đại học Georgetown (BS,,,Robert R. Redfield.jpg,,,,Robert R. Redfield,,,Giám đốc Trung tâm Kiểm soát; Phòng ngừa Dịch bệnh Hoa Kỳ,,,,Brenda Fitzgerald,,,,Donald Trump,,,,,,,,,,,,,,ngày 26 tháng 3 năm 2018,,,,,,
Robert S. Mulliken,https://vi.wikipedia.org/wiki/Robert_S._Mulliken,Viện Công nghệ Massachusetts; Đại học Harvard,* Viện Công nghệ Massachusetts; * Đại học Chicago,,7 tháng 6 năm 1896,,Massachusetts; Mỹ; Newburyport,,,,Arlington; Mỹ; Virginia,,,,Hóa học; vật lý,,Mulliken; Robert 1929 Chicago.jpg,220px,,,Robert Sanderson Mulliken,,,,,,,,,,,,* Giải Nobel Hóa học năm 196625px; * Giải Willard Gibbs năm 1965; * Huy chương Priestley năm 1983,,,,,,,,,,,,,,,,,,,
Robert Solow,https://vi.wikipedia.org/wiki/Robert_Solow,Đại học Columbia; Đại học Harvard,Đại học Harvard,Giải John Bates Clark (1961); Giải Nobel Kinh tế (1987); Giải thưởng Nhà nước về Khoa hoc (1999),,,Brooklyn; New York,,,}},Lexington; Massachusetts,,,,Kinh tế học vĩ mô,,Robert Solow by Olaf Storbeck.jpg,200px,,,Robert Solow,Hoa Kỳ,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Robert Tarjan,https://vi.wikipedia.org/wiki/Robert_Tarjan,Đại học Stanford,Caltech; Stanford,,,,California; Pomona,,,,,,,,Khoa học máy tính,,Bob Tarjan.jpg,,,Thuật toán; cấu trúc dữ liệu,Robert Endre Tarjan,,,,,,,,,,,,Giải Nevanlinna; Giải Turing; Huy chương Blaise Pascal (2004),,,,,,,,,,,,,,,,,Berkeley; Cornell; Hewlett-Packard; Đại học California; Đại học New York; Đại học Princeton; Đại học Stanford,,
Robert Todd Lincoln,https://vi.wikipedia.org/wiki/Robert_Todd_Lincoln,Đại học Harvard,Harvard University,,,,Hoa Kỳ; Illinois; Springfield,,Abraham Lincoln II; Jessie Harlan Lincoln; Mary Todd Lincoln,,Hoa Kỳ; Manchester; Vermont,,,,,,Robert Todd Lincoln - Harris and Ewing.jpg,,220px,,Robert Todd Lincoln,,,Bộ trưởng Chiến tranh Hoa Kỳ thứ 35,,Đại sứ Mỹ tại Vương quốc Anh,Cộng hòa,Alexander Ramsey,,Edward J. Phelps,,,,,,Robert lincoln signature.svg,Mary Eunice Harlan,William C. Endicott,,Thomas F. Bayard,,5 tháng 3 năm 1885,,1893,,5 tháng 3 năm 1881,,1889,,,,
Roberto M. Rey Jr.,https://vi.wikipedia.org/wiki/Roberto_M._Rey_Jr.,Đại học Harvard,,,,Roberto Miguel Rey Júnior,Brazil; São Paulo,,,,,,,,,,Dr. Robert Rey.jpg,,,,Roberto M. Rey Jr,Người Mỹ gốc Brazil,Cirurgião plástico; Người thuyết trình,,,,PEN,,,,,,,,,,Hayley Rey<small> (2000–2014; ly thân)</small>,,,,,,,,,,,,,,,
Roger Myerson,https://vi.wikipedia.org/wiki/Roger_Myerson,Đại học Harvard,Đại học Harvard,,29 tháng 3 năm 1951,,Boston; Massachusetts,,,,,,,,Kinh tế học,,Myerson roger print.jpg,,,,Roger Myerson,20px Mỹ,,,,,,,,,,,20px Giải Nobel Kinh tế (2007),,20px Hoa Kỳ,,,,,,,,,,,,,,,Đại học Chicago,,
Roger Y. Tsien,https://vi.wikipedia.org/wiki/Roger_Y._Tsien,Đại học Harvard,Đại học Cambridge; Đại học Harvard,Artois-Baillet Latour Health Prize (1995); Giải Heineken (2002); Giải Nobel Hóa học (2008); Giải Rosenstiel (2006); Giải Wolf về Y học (2004); Giải quốc tế Quỹ Gairdner (1995); Giải thưởng Y học Keio (2004); Huy chương Edmund B. Wilson (2008),,,Hoa Kỳ; Thành phố New York,,,,Eugene; Hoa Kỳ<ref name=wendy> </ref>; Oregon,,,,,Hóa sinh,2008-2.jpg; Roger Tsien-press conference Dec 07th,220px,,Calci imaging; GFP,Roger Y. Tsien; Tiền Vĩnh Kiện (錢永健),Mỹ,,,,,,,,,,,,,San Diego,,,,,,,,,,,,,,,Đại học California tại Berkeley; Đại học California tại San Diego,,
Ron DeSantis,https://vi.wikipedia.org/wiki/Ron_DeSantis,Đại học Harvard; Đại học Yale,JD); Đại học Harvard (Tiến sĩ Luật; Đại học Yale (BA),20px Huy chương Ngôi sao Đồng; 20px Huân chương Chiến dịch Iraq; 20px Huân chương Phục vụ chiến tranh chống khủng bố Thế giới; 20px Huân chương Tuyên dương của Hải quân,,Ronald Dion DeSantis,Florida; Hoa Kỳ; Jacksonville,Ron DeSantis năm 2019,1 nam; 2 nữ,,,,,,,,Gov Ron DeSantis Portrait (cropped).jpg,,220px,,Ron DeSantis,,Chính trị gia,,,,14px|link= Đảng Cộng hòa,,,,Rick Scott,,,,,DeSantis signature 2021-04.svg,Casey DeSantis (từ 2010),,,,''đương nhiệm'',,,,,,,,8 tháng 1 năm 2019; <small>,,,
Roy J. Glauber,https://vi.wikipedia.org/wiki/Roy_J._Glauber,Đại học Harvard,Đại học Harvard,,1 tháng 9 năm 1925,,Hoa Kỳ; New York; Thành phố New York,,,26 tháng 12 năm 2018 (93 tuổi),,Julian Schwinger,Daniel Frank Walls,,Vật lý,,Roy Glauber.jpg,220px,,Phát minh quang học lương tử,Roy Jay Glauber,,,,,,,,,,,,* Giải Heinemann năm 1996; * Giải Nobel Vật lý năm 2005; * Huy chương Albert Michelson năm 1985,,,,,,,,,,,,,,,,,,Đại học Harvard,
Roy Kim,https://vi.wikipedia.org/wiki/Roy_Kim,Đại học Georgetown,,,,Kim Sang-woo,Hàn Quốc,Roy Kim vào năm 2018,,,,,,,,,180531 로이킴.jpg,,,,Roy Kim,,Ca sĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudolf E. Kálmán,https://vi.wikipedia.org/wiki/Rudolf_E._K%C3%A1lm%C3%A1n,Viện Công nghệ Massachusetts; Đại học Columbia,Viện Công nghệ Massachusetts; Đại học Columbia,Giải thưởng Charles Stark Draper; Giải thưởng Kyoto; Huy chương Danh dự IEEE; Huy chương Khoa học Quốc gia; Huy chương Rufus Oldenburger <small>(1976)</small>; Richard E. Bellman Control Heritage Award <small>(1997)</small>,,,Budapest; Hungary,,,,,John Ragazzini,,,Kĩ thuật điện; Lý thuyết Kỹ thuật Ứng dụng; Toán học,,Rudolf Kalman.jpg,,,,"Communication & Information Systems Engineering.]</ref>; Rudolf Emil Kálmán<ref name=""NAE"">[http://www.nae.edu/MembersSection/MemberDirectory/29818.aspx Prof. Dr. Rudolf Kalman was elected in 1991 as a member of National Academy of Engineering in Electronics",Công dân Mỹ sinh tại Hungary,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,ETH Zurich; Đại học Florida; Đại học Stanford,,
Ruth Lyttle Satter,https://vi.wikipedia.org/wiki/Ruth_Lyttle_Satter,Đại học Columbia,Trường đại học Barnard; Đại học Connecticut,,,Ruth Lyttle,Hoa Kỳ; New York; Thành phố New York,,Bốn,,,,,,,Thực vật học; sinh lý học thực vật; thời sinh học,,,,Công trình nghiên cứu về chuyển động sinh học hàng ngày của lá,Ruth Lyttle Satter,,,,,,,,,,,,,,,,Robert Satter,,,,,,,,,,,,,,,Công ty Maxson; Phòng thí nghiệm Bell; Đại học Connecticut; Đại học Yale
Saad Hariri,https://vi.wikipedia.org/wiki/Saad_Hariri,Đại học Georgetown,Đại học Georgetown,,,,Riyadh; Ả Rập Xê-út,,,,,,,,,,Hariri in April 2009.jpg,,,,<small> سعد الحريري</small>; Saad Hariri,Liban; Ả Rập Xê-út<ref name=Husseini2012> </ref>,,Thủ tướng Liban,,,Liên minh 14 tháng 3; Phong trào Tương lai,Tammam Salam,,Fouad Siniora,Rafic Hariri,Michel Aoun,,Hồi giáo Sunni<!-- It is for religion; not for sects; so please do not change it. -->,,,Lara Bashir Al Azem <small>(1998–nay)</small>,Hassan Diab,,Najib Mikati,,21 tháng 1 năm 2020,,13 tháng 6 năm 2011,,18 tháng 12 năm 2016,,9 tháng 11 năm 2009,20 tháng 4 năm 2005,,,
Sam Altman,https://vi.wikipedia.org/wiki/Sam_Altman,Đại học Stanford,,,,Samuel H. Altman,Chicago; Illinois; U.S,Altman vào năm 2019,,,,,,Đại học Stanford (bỏ học),,,File:Sam Altman TechCrunch SF 2019 Day 2 Oct 3 (cropped).jpg,,,Loopt; OpenAI (trước đây); Y Combinator,Sam Altman,,Doanh nhân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Dexter,https://vi.wikipedia.org/wiki/Samuel_Dexter,Đại học Harvard,Harvard College; Đại học Harvard,,,,Boston; Hoa Kỳ; Massachusetts,,Samuel W. Dexter,,Boston; Hoa Kỳ; Massachusetts,,,,,,Samuel Dexter.jpg,220px,,,Samuel Dexter,,,Bộ trưởng Ngân khố Hoa Kỳ thứ 3,Bộ trưởng Chiến tranh Hoa Kỳ thứ 4,Thượng nghị sĩ Hoa Kỳ đến từ Massachusetts,Đảng Liên bang,,James McHenry; Oliver Wolcott Jr,Theodore Sedgwick,Fisher Ames,John Adams; Thomas Jefferson,,,,Samuel Dexter Signature.svg,,,Albert Gallatin; Henry Deaborn,Dwight Foster,Theodore Sedgwick,13 tháng 5 năm 1801,31 tháng 1 năm 1801,30 tháng 5 năm 1800,3 tháng 3 năm 1795,1 tháng 1 năm 1801,1 tháng 6 năm 1800,4 tháng 3 năm 1799,4 tháng 3 năm 1793,,,
Samuel P. Huntington,https://vi.wikipedia.org/wiki/Samuel_P._Huntington,Đại học Harvard; Đại học Yale,Đại học Chicago; Đại học Harvard; Đại học Yale,,,,Hoa Kỳ; Thành phố New York,,,,Martha's Vineyard; Massachusetts,,,,,Chính trị học,Samuel P. Huntington (2004 World Economic Forum).jpg,,,''Cuộc chiến giữa các nền văn minh'',Samuel Phillips Huntington,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Harvard
Santiago Peña,https://vi.wikipedia.org/wiki/Santiago_Pe%C3%B1a,Đại học Columbia,,,,Santiago Peña Palacios,Asunción; Paraguay,Peña năm 2023,,,,,,Đại học Columbia(MA)<ref> </ref>; Đại học Công giáo Asunción,,,,,,,Santiago Peña,,,Tổng thống đắc cử của Paraguay,Bộ trưởng Tài chính của Paraguay,,Đảng Colorado (từ năm 2016),,,Germán Rojas,,,,,,,<ref> </ref>,,,Lea Giménez,,,,5 tháng 6 năm 2017,,15 tháng 8 năm 2023,,5 tháng 1 năm 2015,,,,
Saul Bellow,https://vi.wikipedia.org/wiki/Saul_Bellow,Đại học Northwestern,,,10 tháng 6 năm 1915,,Canada; Lachine; Quebec,,,,Brookline; Massachusetts,,,,,,Saul Bellow (Herzog portrait) (cropped2).jpg,,250px,,Saul Bellow,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saul Perlmutter,https://vi.wikipedia.org/wiki/Saul_Perlmutter,Đại học Harvard,Harvard (AB) / UC Berkeley (PhD),,1959,,Champaign-Urbana; Hoa Kỳ; Illinois,Saul Perlmutter nhận giải thưởng Shaw trong thiên văn học năm 2006,,,,"Richard A. Muller<ref name=""Goldhaber09""> </ref>",<!--please insert-->,,Vật lý thiên văn,,Saul Perlmutter.jpg,,200px,Vũ trụ gia tốc / Năng lượng tối,Saul Perlmutter,Hoa Kỳ,,,,,,,,,,,Giải Ernest Orlando Lawrence (2002); Giải Gruber trong vũ trụ học (2007); Giải Nobel Vật lý (2011); Giải Shaw trong thiên văn học (2006); Huy chương Albert Einstein (2011),,Hoa Kỳ,,,,,,,,,,,,,,,UC Berkeley/LBNL,,
Scott Dibble (chính khách),https://vi.wikipedia.org/wiki/Scott_Dibble_%28ch%C3%ADnh_kh%C3%A1ch%29,Đại học Minnesota,Đại học Minnesota; Đại học St. Thomas,,,,New York; Thành phố New York,,,,,,,,,,,,,,Scott Dibble,,nhà lập pháp,,,,Đảng Lao động-Nông dân-Dân chủ Minnesota,,,,,,,,Minneapolis; Minnesota,,,,,,,,,6 tháng 1 năm 2003,,7 tháng 1 năm 2003,,3 tháng 1 năm 2001,,,,
Sean Patrick Maloney,https://vi.wikipedia.org/wiki/Sean_Patrick_Maloney,Đại học Georgetown,,,,Sean Patrick Maloney,Canada; Quebec; Sherbrooke,,,,,,,JD); Đại học Georgetown; Đại học Virginia (BA,,,Congressman Maloney official.jpg,,,,Sean P. Maloney,,,Chủ tịch Ủy ban Vận động của Quốc hội đảng Dân chủ,,Thư ký Nhân viên Nhà Trắng,Dân chủ,Cheri Bustos,Nan Hayworth (chỉnh lại khu vực),Phillip Caplan,,,,,,,,,,Lisel Loy,,,,2000,,3 tháng 1 năm 2021,3 tháng 1 năm 2013,1999,,,,
Sebastián Piñera,https://vi.wikipedia.org/wiki/Sebasti%C3%A1n_Pi%C3%B1era,Đại học Harvard,,,,,Chile; Santiago,,,,Chile; Lake Ranco; Los Ríos Region,,,,,,Retrato Oficial Presidente Piñera 2018 (cropped7).jpg,,,,Sebastián Piñera,,,Tổng thống Chile thứ 38,,Tổng thống Chile thứ 36,Đảng tái thiết quốc gia (trước 2010); Độc lập (2010-2011),Michelle Bachelet,,Michelle Bachelet,,,,,,Firma Sebastián Piñera.png,,Gabriel Boric,,Michelle Bachelet,,11 tháng 3 năm 2022,,11 tháng 3 năm 2014,,11 tháng 3 năm 2018,,11 tháng 3 năm 2010,,,,
Sewall Wright,https://vi.wikipedia.org/wiki/Sewall_Wright,Đại học Harvard,* Cao đẳng Lombard; * Đại học Harvard (trở thành tiến sĩ năm 1915<ref> </ref>); * Đại học Illinois,,21 tháng 12 năm 1889,,Hoa Kỳ; Massachusetts; Melrose,,,,Hoa Kỳ; Madison; Wiscosin,William Ernest Castle,,,Sinh học,,,220px,,,Sewall Wright,,,,,,,,,,,,* Giải thưởng Balzan năm 1984; * Huy chương Daniel Giraud Elliot năm 1945); * Huy chương Darwin năm 1980; * Huy chương Thomas Hunt Morgan năm 1982; * Huân chương Khoa học Quốc gia năm 1966; * Ủy viên của Hội Hoàng gia <ref> </ref>,,,,,,,,,,,,,,,,,,,
Shawn Levy,https://vi.wikipedia.org/wiki/Shawn_Levy,Đại học Yale,,,,Shawn Adam Levy<ref> </ref>,Canada; Montreal; Quebec,Levy tại sự kiện CinemaCon vào năm 2024,,,,,,Đại học Nam California về Nghệ thuật Điện ảnh; Đại học Yale,,,Shawn_Levy_by_Gage_Skidmore_2.jpg,,,,Shawn Levy,,,,,,,,,,,,,,,,Serena Levy,,,,,,,,,,,,,,,
Sheldon Lee Glashow,https://vi.wikipedia.org/wiki/Sheldon_Lee_Glashow,Đại học Harvard,* Đại học Cornell; * Đại học Harvard,,,,Hoa Kỳ; Thành phố New York,,,,,Julian Schwinger25px,,,Vật lý,,Sheldon Glashow at Harvard cropped.jpg,220px,,* Chỉ trích lý thuyết siêu dây; * Lý thuyết điện yếu; * Mô hình Georgi-Glashow,Sheldon Lee Glashow,,,,,,,,,,,,Giải Nobel Vật lý năm 197925px,,,,(cưới vào năm 1972; Joan Shirley Alexander; có 4 đứa con); {{plainlist |; }},,,,,,,,,,,,,,* Đại học Boston; * Đại học California; * Đại học Harvard; Berkeley,
Shelton Benjamin,https://vi.wikipedia.org/wiki/Shelton_Benjamin,Đại học Minnesota,University of Minnesota,,"<ref name=""oww""> </ref>",Shelton James Benjamin,Orangeburg; South Carolina,Benjamin vào tháng 4 năm 2013,,,,,,,,,Shelton Benjamin ROH Cropped.jpg,250px,,,Shelton Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
